crap: complexity measured from source for 1859/1970 clauses (94.4%); 111 not gated (templates / generated / macro-injected).
crap: 18/1445 functions have no coverage data and are NOT gated. Pass --on-no-coverage zero to treat them as uncovered, or check your --coverdata is complete.
FUNCTION                                                     CC  COV%   CRAP
-----------------------------------------------------------  --  -----  ----
Mix.Tasks.Mut.render_reports/5                               6   0.0    42.0
Mix.Tasks.Mut.E2e.assert_incremental!/1                      6   0.0    42.0
Mut.Worker.Formatter.handle_cast/2                           6   0.0    42.0
Mix.Tasks.Mut.fallback_reason/2                              5   0.0    30.0
Mut.AstWalk.maybe_body_literal_candidate/3                   5   0.0    30.0
Mut.CompileRollback.loop/3                                   5   0.0    30.0
Mut.Worker.Formatter.status/1                                5   0.0    30.0
Mut.Metrics.handle_cast/2                                    15  60.0   29.4
Mut.EnvWalker.descend/2                                      24  82.1   27.3
Mut.SchemaPlacer.block_kind/1                                6   16.7   26.8
Mut.Worker.run_fallback/4                                    9   40.0   26.5
Mix.Tasks.Mut.baseline_tests!/2                              4   0.0    20.0
Mix.Tasks.Mut.degraded_reason/1                              4   0.0    20.0
Mix.Tasks.Mut.E2e.assert_coverage_non_regression!/2          4   0.0    20.0
Mix.Tasks.Mut.TestFallback.assert_default_attribute_skip!/1  4   0.0    20.0
Mix.Tasks.Mut.TestFallback.assert_fallback_plan!/1           4   0.0    20.0
Mix.Tasks.Mut.TestSchema.summarize!/4                        4   0.0    20.0
Mut.CompileRollback.locate_output/2                          4   0.0    20.0
Mut.EnvWalker.walk_with/2                                    4   0.0    20.0
Mut.AstWalk.dispatch_shape/1                                 19  100.0  19.0
Mut.Mutator.ClauseDelete.build_mutation/3                    15  77.3   17.6
Mut.Reporter.Terminal.concurrency_block/1                    4   14.3   14.1
Mut.Cli.normalize/2                                          14  100.0  14.0
Mut.Cli.exclude/1                                            6   42.9   12.7
Mut.AstWalk.call_node?/1                                     5   33.3   12.4
Mut.Reporter.StrykerJson.require_position/3                  5   33.3   12.4
Mix.Tasks.Compile.MutOracle.run/1                            3   0.0    12.0
Mix.Tasks.Mut.app_from_ast/1                                 3   0.0    12.0
Mix.Tasks.Mut.apply_incremental_reuse/5                      3   0.0    12.0
Mix.Tasks.Mut.changed_files_since/2                          3   0.0    12.0
Mix.Tasks.Mut.collect_coverage_for_selection/4               3   0.0    12.0
Mix.Tasks.Mut.enforce_test_env!/0                            3   0.0    12.0
Mix.Tasks.Mut.expand_file_pattern/2                          3   0.0    12.0
Mix.Tasks.Mut.handle_pathological_coverage/5                 3   0.0    12.0
Mix.Tasks.Mut.maybe_limit_plan/2                             3   0.0    12.0
Mix.Tasks.Mut.partition_reuse/6                              3   0.0    12.0
Mix.Tasks.Mut.record_last_killer/4                           3   0.0    12.0
Mix.Tasks.Mut.render_reports_with_timing/5                   3   0.0    12.0
Mix.Tasks.Mut.run_pipeline/1                                 3   0.0    12.0
Mix.Tasks.Mut.run_with_concurrency/4                         3   0.0    12.0
Mix.Tasks.Mut.static_match_kind/2                            3   0.0    12.0
Mix.Tasks.Mut.worker_test_files/3                            3   0.0    12.0
Mix.Tasks.Mut.E2e.assert_baseline_failure_aborts!/0          3   0.0    12.0
Mix.Tasks.Mut.E2e.assert_coverage_phase_timings!/2           3   0.0    12.0
Mix.Tasks.Mut.E2e.assert_coverage_selection_mode!/1          3   0.0    12.0
Mix.Tasks.Mut.E2e.assert_metrics!/2                          3   0.0    12.0
Mix.Tasks.Mut.E2e.assert_score_range!/3                      3   0.0    12.0
Mix.Tasks.Mut.E2e.run_fixture!/2                             3   0.0    12.0
Mix.Tasks.Mut.Recompile.validate_files!/1                    3   0.0    12.0
Mix.Tasks.Mut.TestFallback.summarize!/3                      3   0.0    12.0
Mix.Tasks.Mut.TestFallback.worker_test_files/2               3   0.0    12.0
Mix.Tasks.Mut.TestSchema.worker_test_files/3                 3   0.0    12.0
Mut.AstWalk.body_literal_block?/1                            3   0.0    12.0
Mut.AstWalk.body_literal_pre/2                               3   0.0    12.0
Mut.AstWalk.pattern_clause_head?/1                           3   0.0    12.0
Mut.AstWalk.prune_body_literal/1                             3   0.0    12.0
Mut.ChildProcess.output_tail/2                               3   0.0    12.0
Mut.CompileRollback.invalid_limit/3                          3   0.0    12.0
Mut.EnvWalker.walk_for/2                                     3   0.0    12.0
Mut.Mutator.BooleanLiteral.applicable?/2                     3   0.0    12.0
